,moves,year_id,month,day,road_type_id,road_desc,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,avg_speed_bin_id,avg_bin_speed,avg_speed_bin_desc,rate_per_distance,per_diff
53,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,11,50.0,47.5mph <= speed < 52.5mph,0.088353534,-6.61
54,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,12,55.0,52.5mph <= speed < 57.5mph,0.09491939663,-6.94
55,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,12,55.0,52.5mph <= speed < 57.5mph,0.08833323319,-6.94
56,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,13,60.0,57.5mph <= speed < 62.5mph,0.09680067187000001,-7.7
57,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,13,60.0,57.5mph <= speed < 62.5mph,0.0893486738,-7.7
58,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,14,65.0,62.5mph <= speed < 67.5mph,0.10439917579,-9.97
59,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,14,65.0,62.5mph <= speed < 67.5mph,0.09399095949000001,-9.97
60,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,15,70.0,67.5mph <= speed < 72.5mph,0.11880275191,-13.81
61,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,15,70.0,67.5mph <= speed < 72.5mph,0.10239609569,-13.81
62,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,16,75.0,72.5mph <= speed,0.13790751606999999,-17.89
63,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,3,NOx,16,75.0,72.5mph <= speed,0.11322952900000001,-17.89
64,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,1,2.5,speed < 2.5mph,0.39973426999999995,6.31
65,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,1,2.5,speed < 2.5mph,0.42495261999999995,6.31
66,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,2,5.0,2.5mph <= speed < 7.5mph,0.207295625,10.33
67,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,2,5.0,2.5mph <= speed < 7.5mph,0.22871590000000003,10.33
68,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,3,10.0,7.5mph <= speed < 12.5mph,0.11016207900000001,17.77
69,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,3,10.0,7.5mph <= speed < 12.5mph,0.129736082,17.77
70,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,4,15.0,12.5mph <= speed < 17.5mph,0.076016068,25.07
71,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,4,15.0,12.5mph <= speed < 17.5mph,0.09507553300000002,25.07
72,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,5,20.0,17.5mph <= speed <22.5mph,0.058228140000000005,27.2
73,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,5,20.0,17.5mph <= speed <22.5mph,0.074063809,27.2
74,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,6,25.0,22.5mph <= speed < 27.5mph,0.048365620000000005,28.77
75,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,6,25.0,22.5mph <= speed < 27.5mph,0.06228245,28.77
76,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,7,30.0,27.5mph <= speed < 32.5mph,0.041893839999999995,30.28
77,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,7,30.0,27.5mph <= speed < 32.5mph,0.05457962399999999,30.28
78,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,8,35.0,32.5mph <= speed < 37.5mph,0.037438151999999995,28.34
79,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,8,35.0,32.5mph <= speed < 37.5mph,0.048049719,28.34
80,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,9,40.0,37.5mph <= speed < 42.5mph,0.034112551,26.21
81,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,9,40.0,37.5mph <= speed < 42.5mph,0.043052324999999995,26.21
82,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,10,45.0,42.5mph <= speed < 47.5mph,0.031525853,24.23
83,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,10,45.0,42.5mph <= speed < 47.5mph,0.03916561,24.23
84,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,11,50.0,47.5mph <= speed < 52.5mph,0.029368520999999998,23.24
85,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,11,50.0,47.5mph <= speed < 52.5mph,0.036192556,23.24
86,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,12,55.0,52.5mph <= speed < 57.5mph,0.027579814999999997,22.54
87,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,12,55.0,52.5mph <= speed < 57.5mph,0.033796392999999994,22.54
88,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,13,60.0,57.5mph <= speed < 62.5mph,0.026383282,20.68
89,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,13,60.0,57.5mph <= speed < 62.5mph,0.031838216,20.68
90,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,14,65.0,62.5mph <= speed < 67.5mph,0.026502957000000004,15.06
91,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,14,65.0,62.5mph <= speed < 67.5mph,0.030494703,15.06
92,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,15,70.0,67.5mph <= speed < 72.5mph,0.028472453999999998,8.24
